Month,Revenue,Type
2023-01-01,378897.0,Historical
2023-02-01,378897.0,Historical
2023-03-01,423861.0,Historical
2023-04-01,445949.0,Historical
2023-05-01,495776.0,Historical
2023-06-01,480995.0,Historical
2023-07-01,532250.0,Historical
2023-08-01,583505.0,Historical
2023-09-01,597123.0,Historical
2023-10-01,678774.0,Historical
2023-11-01,812603.0,Historical
2023-12-01,889279.0,Historical
2024-01-01,512207.0,Historical
2024-02-01,485310.0,Historical
2024-03-01,584269.0,Historical
2024-04-01,648454.0,Historical
2024-05-01,654542.5,Historical
2024-06-01,660631.0,Historical
2024-07-01,624255.0,Historical
2024-08-01,689190.0,Historical
2024-09-01,748528.0,Historical
2024-10-01,894123.0,Historical
2024-11-01,1014916.5,Historical
2024-12-01,1135710.0,Historical
2025-01-01,654062.0,Historical
2025-02-01,641041.0,Historical
2025-03-01,676367.0,Historical
2025-04-01,780461.0,Historical
2025-05-01,848787.0,Historical
2025-06-01,841190.0,Historical
2025-07-01,796389.0,Historical
2025-08-01,880913.0,Historical
2025-09-01,955251.0,Historical
2025-10-01,1085493.0,Historical
2025-11-01,1289737.0,Historical
2025-12-01,1357312.0,Historical
2026-01-01,932925.0,Forecast
2026-02-01,924505.0,Forecast
2026-03-01,995533.0,Forecast
2026-04-01,1075423.0,Forecast
2026-05-01,1117948.0,Forecast
2026-06-01,1115795.0,Forecast
